,time,close
0,2018-06-21,2875.81
1,2018-06-22,2889.76
2,2018-06-25,2859.34
3,2018-06-26,2844.51
4,2018-06-27,2813.18
5,2018-06-28,2786.9
6,2018-06-29,2847.42
7,2018-07-02,2775.56
8,2018-07-03,2786.89
9,2018-07-04,2759.13
10,2018-07-05,2733.88
11,2018-07-06,2747.23
12,2018-07-09,2815.11
13,2018-07-10,2827.63
14,2018-07-11,2777.77
15,2018-07-12,2837.66
16,2018-07-13,2831.18
17,2018-07-16,2814.04
18,2018-07-17,2798.13
19,2018-07-18,2787.26
20,2018-07-19,2772.55
21,2018-07-20,2829.27
22,2018-07-23,2859.54
23,2018-07-24,2905.56
24,2018-07-25,2903.65
25,2018-07-26,2882.23
26,2018-07-27,2873.59
27,2018-07-30,2869.05
28,2018-07-31,2876.4
29,2018-08-01,2824.53
30,2018-08-02,2768.02
31,2018-08-03,2740.44
32,2018-08-06,2705.16
33,2018-08-07,2779.37
34,2018-08-08,2744.07
35,2018-08-09,2794.38
36,2018-08-10,2795.31
37,2018-08-13,2785.87
38,2018-08-14,2780.96
39,2018-08-15,2723.26
40,2018-08-16,2705.19
41,2018-08-17,2668.97
42,2018-08-20,2698.47
43,2018-08-21,2733.83
44,2018-08-22,2714.61
45,2018-08-23,2724.62
46,2018-08-24,2729.43
47,2018-08-27,2780.9
48,2018-08-28,2777.98
49,2018-08-29,2769.29
50,2018-08-30,2737.74
51,2018-08-31,2725.25
52,2018-09-03,2720.73
53,2018-09-04,2750.58
54,2018-09-05,2704.34
55,2018-09-06,2691.59
56,2018-09-07,2702.3
57,2018-09-10,2669.48
58,2018-09-11,2664.8
59,2018-09-12,2656.11
60,2018-09-13,2686.58
61,2018-09-14,2681.64
62,2018-09-17,2651.79
63,2018-09-18,2699.95
64,2018-09-19,2730.85
65,2018-09-20,2729.24
66,2018-09-21,2797.48
67,2018-09-25,2781.14
68,2018-09-26,2806.81
69,2018-09-27,2791.77
70,2018-09-28,2821.35
71,2018-10-08,2716.51
72,2018-10-09,2721.01
73,2018-10-10,2725.84
74,2018-10-11,2583.46
75,2018-10-12,2606.91
76,2018-10-15,2568.1
77,2018-10-16,2546.33
78,2018-10-17,2561.61
79,2018-10-18,2486.42
80,2018-10-19,2550.47
81,2018-10-22,2654.88
82,2018-10-23,2594.83
83,2018-10-24,2603.3
84,2018-10-25,2603.8
85,2018-10-26,2598.85
86,2018-10-29,2542.1
87,2018-10-30,2568.05
88,2018-10-31,2602.78
89,2018-11-01,2606.24
90,2018-11-02,2676.48
91,2018-11-05,2665.43
92,2018-11-06,2659.36
93,2018-11-07,2641.34
94,2018-11-08,2635.63
95,2018-11-09,2598.87
96,2018-11-12,2630.52
97,2018-11-13,2654.88
98,2018-11-14,2632.24
99,2018-11-15,2668.17
100,2018-11-16,2679.11
101,2018-11-19,2703.51
102,2018-11-20,2645.85
103,2018-11-21,2651.51
104,2018-11-22,2645.43
105,2018-11-23,2579.48
106,2018-11-26,2575.81
107,2018-11-27,2574.68
108,2018-11-28,2601.74
109,2018-11-29,2567.44
110,2018-11-30,2588.19
111,2018-12-03,2654.8
112,2018-12-04,2665.96
113,2018-12-05,2649.81
114,2018-12-06,2605.18
115,2018-12-07,2605.89
116,2018-12-10,2584.58
117,2018-12-11,2594.09
118,2018-12-12,2602.15
119,2018-12-13,2634.05
120,2018-12-14,2593.74
121,2018-12-17,2597.97
122,2018-12-18,2576.65
123,2018-12-19,2549.56
124,2018-12-20,2536.27
125,2018-12-21,2516.25
126,2018-12-24,2527.01
127,2018-12-25,2504.82
128,2018-12-26,2498.29
129,2018-12-27,2483.09
130,2018-12-28,2493.9
131,2019-01-02,2465.29
132,2019-01-03,2464.36
133,2019-01-04,2514.87
134,2019-01-07,2533.09
135,2019-01-08,2526.46
136,2019-01-09,2544.34
137,2019-01-10,2535.1
138,2019-01-11,2553.83
139,2019-01-14,2535.77
140,2019-01-15,2570.34
141,2019-01-16,2570.42
142,2019-01-17,2559.64
143,2019-01-18,2596.01
144,2019-01-21,2610.51
145,2019-01-22,2579.7
146,2019-01-23,2581.0
147,2019-01-24,2591.69
148,2019-01-25,2601.72
149,2019-01-28,2596.98
150,2019-01-29,2594.25
151,2019-01-30,2575.58
152,2019-01-31,2584.57
153,2019-02-01,2618.23
154,2019-02-11,2653.9
155,2019-02-12,2671.89
156,2019-02-13,2721.07
157,2019-02-14,2719.7
158,2019-02-15,2682.39
159,2019-02-18,2754.36
160,2019-02-19,2755.65
161,2019-02-20,2761.22
162,2019-02-21,2751.8
163,2019-02-22,2804.23
164,2019-02-25,2961.28
165,2019-02-26,2941.52
166,2019-02-27,2953.82
167,2019-02-28,2940.95
168,2019-03-01,2994.01
169,2019-03-04,3027.58
170,2019-03-05,3054.25
171,2019-03-06,3102.1
172,2019-03-07,3106.42
173,2019-03-08,2969.86
174,2019-03-11,3026.99
175,2019-03-12,3060.31
176,2019-03-13,3026.95
177,2019-03-14,2990.68
178,2019-03-15,3021.75
179,2019-03-18,3096.42
